SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,1/9/2014,-30.00,-170.00,130.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,16.70,,2.53,0.33,,,,
,qPCR,1/11/2014,-35.00,-170.00,0.00,n.d.,,,,,158.49,,n.d.,,n.d.,,,,0.25,,,,,,,,,,,,,,,,21.90,,<0.003,0.08,,,,
,qPCR,1/11/2014,-35.00,-170.00,20.00,n.d.,,,,,199.53,,n.d.,,n.d.,,,,0.25,,,,,,,,,,,,,,,,21.70,,<0.003,0.08,,,,
,qPCR,1/11/2014,-35.00,-170.00,44.00,n.d.,,,,,199.53,,n.d.,,n.d.,,,,0.25,,,,,,,,,,,,,,,,18.90,,<0.003,0.08,,,,
,qPCR,1/11/2014,-35.00,-170.00,96.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,16.20,,<0.003,0.10,,,,
,qPCR,1/11/2014,-35.00,-170.00,147.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,14.90,,3.78,0.35,,,,
,qPCR,1/13/2014,-40.00,-170.00,0.00,n.d.,,,,,6.31,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,19.80,,0.00,0.15,,,,
,qPCR,1/13/2014,-40.00,-170.00,18.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,19.80,,<0.003,0.15,,,,
,qPCR,1/13/2014,-40.00,-170.00,41.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,18.50,,<0.003,0.16,,,,
,qPCR,1/13/2014,-40.00,-170.00,81.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,14.50,,2.83,0.40,,,,
,qPCR,1/13/2014,-40.00,-170.00,122.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,13.60,,4.63,0.49,,,,
,qPCR,1/1/2012,0.00,-135.01,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.20,,7.89,0.65,,,,
,qPCR,1/1/2012,0.00,-135.01,15.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.10,,7.86,0.71,,,,
,qPCR,1/1/2012,0.00,-135.01,29.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.00,,8.00,0.74,,,,
,qPCR,1/1/2012,0.00,-135.01,63.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,22.80,,9.93,0.93,,,,
,qPCR,1/1/2012,0.00,-135.01,96.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,19.50,,15.30,1.16,,,,
,qPCR,1/3/2012,-7.50,-127.51,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.10,,7.88,0.61,,,,
,qPCR,1/3/2012,-7.50,-127.51,11.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.10,,7.90,0.71,,,,
,qPCR,1/3/2012,-7.50,-127.51,26.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.10,,8.15,0.73,,,,
,qPCR,1/3/2012,-7.50,-127.51,69.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.90,,8.52,0.83,,,,
,qPCR,1/3/2012,-7.50,-127.51,115.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,21.20,,10.10,1.10,,,,
,qPCR,1/5/2012,-15.00,-120.00,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.50,,3.50,0.38,,,,
,qPCR,1/5/2012,-15.00,-120.00,10.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.50,,3.46,0.46,,,,
,qPCR,1/5/2012,-15.00,-120.00,24.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.00,,3.18,0.43,,,,
,qPCR,1/5/2012,-15.00,-120.00,62.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,23.60,,2.10,0.40,,,,
,qPCR,1/5/2012,-15.00,-120.00,107.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,22.60,,1.00,0.44,,,,
,qPCR,1/6/2012,-20.01,-120.00,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.90,,0.21,0.20,,,,
,qPCR,1/6/2012,-20.01,-120.00,18.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.40,,0.20,0.28,,,,
,qPCR,1/6/2012,-20.01,-120.00,35.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.60,,0.41,0.30,,,,
,qPCR,1/6/2012,-20.01,-120.00,81.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,23.70,,<0.003,0.26,,,,
,qPCR,1/6/2012,-20.01,-120.00,140.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,22.70,,<0.003,0.27,,,,
,qPCR,1/7/2012,-23.00,-120.00,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.40,,0.00,0.23,,,,
,qPCR,1/7/2012,-23.00,-120.00,16.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,25.20,,<0.003,0.23,,,,
,qPCR,1/7/2012,-23.00,-120.00,42.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.10,,<0.003,0.19,,,,
,qPCR,1/7/2012,-23.00,-120.00,155.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,22.10,,<0.003,0.17,,,,
,qPCR,1/7/2012,-23.00,-120.00,195.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,21.30,,0.01,0.11,,,,
,qPCR,1/10/2012,-26.50,-120.00,0.00,n.d.,,,,,100.00,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.40,,<0.003,0.12,,,,
,qPCR,1/10/2012,-26.50,-120.00,41.00,n.d.,,,,,251.19,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,23.80,,<0.003,0.13,,,,
,qPCR,1/10/2012,-26.50,-120.00,81.00,n.d.,,,,,15.85,,1.26,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,21.40,,<0.003,0.13,,,,
,qPCR,1/10/2012,-26.50,-120.00,158.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,19.60,,<0.003,0.10,,,,
,qPCR,1/10/2012,-26.50,-120.00,215.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,17.60,,1.05,0.20,,,,
,qPCR,1/11/2012,-29.99,-120.00,0.00,n.d.,,,,,31.62,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,22.70,,<0.003,0.10,,,,
,qPCR,1/11/2012,-29.99,-120.00,29.00,n.d.,,,,,100.00,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,22.30,,<0.003,0.10,,,,
,qPCR,1/11/2012,-29.99,-120.00,43.00,n.d.,,,,,19.95,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,20.30,,<0.003,0.09,,,,
,qPCR,1/11/2012,-29.99,-120.00,113.00,-,,,,,-,,-,,-,,,,-,,,,,,,,,,,,,,,,17.60,,<0.003,0.12,,,,
,qPCR,1/11/2012,-29.99,-120.00,168.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,16.00,,0.32,0.17,,,,
,qPCR,1/14/2012,-30.00,-107.00,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,21.80,,<0.003,0.14,,,,
,qPCR,1/14/2012,-30.00,-107.00,25.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,21.60,,<0.003,0.14,,,,
,qPCR,1/14/2012,-30.00,-107.00,59.00,n.d.,,,,,15.85,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,19.60,,<0.003,0.13,,,,
,qPCR,1/14/2012,-30.00,-107.00,135.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,17.60,,<0.003,0.15,,,,
,qPCR,1/14/2012,-30.00,-107.00,195.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,15.60,,1.63,0.27,,,,
,qPCR,1/16/2012,-30.00,-100.00,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,21.90,,<0.003,0.15,,,,
,qPCR,1/16/2012,-30.00,-100.00,14.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,21.70,,<0.003,0.15,,,,
,qPCR,1/16/2012,-30.00,-100.00,47.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,19.90,,0.00,0.14,,,,
,qPCR,1/16/2012,-30.00,-100.00,110.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,18.10,,<0.004,0.15,,,,
,qPCR,1/16/2012,-30.00,-100.00,171.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,16.40,,1.66,0.27,,,,
,qPCR,1/18/2012,-23.00,-100.00,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.50,,0.01,0.29,,,,
,qPCR,1/18/2012,-23.00,-100.00,29.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,23.70,,0.01,0.30,,,,
,qPCR,1/18/2012,-23.00,-100.00,72.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,20.30,,0.01,0.26,,,,
,qPCR,1/18/2012,-23.00,-100.00,145.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,19.10,,0.01,0.26,,,,
,qPCR,1/18/2012,-23.00,-100.00,205.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,18.00,,0.07,0.19,,,,
,qPCR,1/20/2012,-20.00,-100.00,0.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.30,,0.02,0.36,,,,
,qPCR,1/20/2012,-20.00,-100.00,19.00,5.01,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,24.20,,0.02,0.36,,,,
,qPCR,1/20/2012,-20.00,-100.00,46.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,22.20,,0.00,0.30,,,,
,qPCR,1/20/2012,-20.00,-100.00,120.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,20.10,,0.01,0.26,,,,
,qPCR,1/20/2012,-20.00,-100.00,177.00,n.d.,,,,,n.d.,,n.d.,,n.d.,,,,n.d.,,,,,,,,,,,,,,,,18.70,,0.81,0.28,,,,
"Shiozaki et al, 2018. Limnology Oceanography",qPCR,09/06/2015,65.76,-168.75,0.00,,,,,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,7.40,31.70,2.51,0.75,3.35,,4.70,
,qPCR,09/06/2015,65.76,-168.75,10.20,,,,,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,7.23,31.72,2.67,0.76,3.51,,4.54,
data shown in Figure 5 and Supplementary Table 3,qPCR,09/06/2015,65.76,-168.75,19.30,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,7.05,31.80,2.95,0.77,3.83,,4.68,
,qPCR,09/06/2015,65.76,-168.75,29.20,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,4.39,32.47,15.52,1.61,9.64,,2.40,
,qPCR,09/07/2015,68.00,-168.78,0.00,,,,,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,4.60,32.49,16.71,1.63,10.25,,1.79,
,qPCR,09/07/2015,68.00,-168.78,15.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,4.34,32.51,17.28,1.66,10.41,,1.69,
,qPCR,09/07/2015,68.00,-168.78,24.90,,,,,0.40,0.40,,,,,,,,,,,,,,,,,,,,,,,,4.16,32.63,20.74,1.93,10.75,,1.76,
,qPCR,09/07/2015,68.00,-168.78,35.00,,,,,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,4.01,32.66,21.66,2.00,10.83,,1.33,
,qPCR,09/07/2015,70.50,-168.75,0.00,,,,,1.26,1.26,,,,,,,,,,,,,,,,,,,,,,,,4.90,31.98,0.20,0.61,0.33,,1.83,
,qPCR,09/07/2015,70.50,-168.75,10.90,,,,,3.16,3.16,,,,,,,,,,,,,,,,,,,,,,,,4.79,31.98,0.17,0.59,0.29,,1.86,
,qPCR,09/07/2015,70.50,-168.75,22.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,4.46,32.19,2.07,0.87,2.38,,0.85,
,qPCR,09/07/2015,70.50,-168.75,30.00,,,,,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,4.29,32.19,2.47,0.95,2.60,,0.87,
,qPCR,09/08/2015,71.34,-157.66,0.00,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,4.90,31.73,1.42,0.83,1.71,,1.96,
,qPCR,09/08/2015,71.34,-157.66,8.30,,,,,0.63,0.63,,,,,,,,,,,,,,,,,,,,,,,,4.93,31.73,1.42,0.82,1.73,,1.70,
,qPCR,09/08/2015,71.34,-157.66,18.00,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,4.94,31.74,1.45,0.83,1.75,,1.74,
,qPCR,09/08/2015,71.34,-157.66,27.80,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,4.76,31.73,1.32,0.81,1.63,,1.68,
,qPCR,09/15/2015,71.95,-158.00,0.00,,,,,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,4.40,31.37,0.90,0.69,1.30,,2.74,
,qPCR,09/15/2015,71.95,-158.00,9.60,,,,,1.58,1.58,,,,,,,,,,,,,,,,,,,,,,,,4.36,31.38,0.65,0.68,0.96,,1.84,
,qPCR,09/15/2015,71.95,-158.00,23.70,,,,,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,-0.21,31.90,3.48,0.95,3.66,,0.25,
,qPCR,09/15/2015,71.95,-158.00,39.70,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.93,32.19,8.25,1.39,5.94,,0.20,
,qPCR,09/29/2015,72.00,-168.75,0.00,,,,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,2.30,31.77,0.47,0.59,0.80,,2.72,
,qPCR,09/29/2015,72.00,-168.75,12.00,,,,,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,2.31,31.77,0.51,0.59,0.86,,2.77,
,qPCR,09/29/2015,72.00,-168.75,22.40,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,2.30,31.77,0.43,0.58,0.74,,2.61,
,qPCR,09/29/2015,72.00,-168.75,37.10,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.29,32.42,10.84,1.69,6.41,,0.51,
,qPCR,10/03/2015,67.00,-168.75,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,3.70,32.80,25.12,2.31,10.87,,0.70,
,qPCR,10/03/2015,67.00,-168.75,15.30,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,3.41,32.80,24.79,2.29,10.83,,0.66,
,qPCR,10/03/2015,67.00,-168.75,25.70,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,3.41,32.80,24.68,2.29,10.78,,0.73,
,qPCR,10/03/2015,67.00,-168.75,35.20,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,3.41,32.80,24.89,2.30,10.82,,0.74,
,qPCR,09/11/2015,71.74,-155.21,0.00,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,5.40,30.78,0.94,0.69,1.36,,1.21,
,qPCR,09/11/2015,71.77,-155.33,9.00,,,,,1.58,1.58,,,,,,,,,,,,,,,,,,,,,,,,5.26,30.82,0.95,0.70,1.36,,1.16,
,qPCR,09/11/2015,71.77,-155.33,18.10,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,5.34,30.83,0.99,0.70,1.41,,1.15,
,qPCR,09/11/2015,71.77,-155.33,28.70,,,,,1.58,1.58,,,,,,,,,,,,,,,,,,,,,,,,5.33,30.84,0.96,0.71,1.35,,1.19,
,qPCR,09/13/2015,72.00,-154.71,0.00,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,2.30,27.64,0.10,0.49,0.20,,0.67,
,qPCR,09/14/2015,72.00,-154.76,16.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,2.97,29.79,nan,0.58,0.21,,0.62,
,qPCR,09/14/2015,72.00,-154.76,38.10,,,,,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,-0.39,30.90,0.51,0.76,0.67,,0.27,
,qPCR,09/14/2015,72.00,-154.76,63.70,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-1.01,31.54,4.98,1.12,4.45,,0.16,
,qPCR,09/15/2015,72.39,-155.47,0.00,,,,,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,1.40,26.63,0.18,0.51,0.35,,0.35,
,qPCR,09/14/2015,72.39,-155.40,26.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.99,29.50,nan,0.67,0.18,,0.19,
,qPCR,09/14/2015,72.39,-155.40,41.40,,,,,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,3.47,30.66,0.80,0.73,1.10,,0.50,
,qPCR,09/14/2015,72.39,-155.40,60.00,,,,,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,-0.34,30.91,0.96,0.84,1.14,,0.28,
,qPCR,09/16/2015,72.34,-155.39,0.00,,,,,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,,,1.40,26.82,nan,0.53,0.25,,0.48,
,qPCR,09/16/2015,72.34,-155.39,19.40,,,,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.92,29.12,nan,0.63,0.19,,0.66,
,qPCR,09/16/2015,72.34,-155.39,34.30,,,,,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,6.06,31.00,1.36,0.72,1.89,,0.61,
,qPCR,09/16/2015,72.34,-155.39,51.80,,,,,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,4.96,31.22,1.49,0.72,2.07,,0.30,
,qPCR,09/18/2015,72.47,-155.39,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.80,26.66,0.15,0.54,0.28,,0.29,
,qPCR,09/18/2015,72.47,-155.40,25.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.27,29.55,nan,0.64,0.19,,0.30,
,qPCR,09/18/2015,72.47,-155.40,48.70,,,,,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,1.69,30.98,0.97,0.75,1.29,,0.22,
,qPCR,09/18/2015,72.47,-155.40,69.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.03,31.42,3.85,1.00,3.85,,0.13,
,qPCR,09/19/2015,72.38,-156.00,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.70,26.75,nan,0.55,0.22,,0.36,
,qPCR,09/19/2015,72.38,-156.00,16.90,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,1.98,28.14,nan,0.50,0.24,,0.70,
,qPCR,09/19/2015,72.38,-156.00,34.50,,,,,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,5.11,30.77,0.90,0.66,1.36,,0.54,
,qPCR,09/19/2015,72.38,-156.00,54.00,,,,,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,2.44,31.06,0.89,0.73,1.22,,0.42,
,qPCR,09/20/2015,72.29,-156.03,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.50,27.18,nan,0.54,0.22,,0.53,
,qPCR,09/20/2015,72.29,-156.03,12.00,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,2.45,29.56,nan,0.54,0.22,,1.51,
,qPCR,09/20/2015,72.29,-156.03,28.10,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,3.61,30.58,nan,0.58,0.45,,1.27,
,qPCR,09/20/2015,72.29,-156.03,45.00,,,,,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,3.72,30.98,0.96,0.70,1.37,,0.65,
,qPCR,09/22/2015,71.83,-153.82,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.50,27.08,0.13,0.57,0.23,,0.27,
,qPCR,09/22/2015,71.83,-153.82,19.80,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,1.01,28.55,nan,0.62,0.19,,0.27,
,qPCR,09/22/2015,71.83,-153.82,39.90,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.39,30.25,nan,0.72,0.17,,0.23,
,qPCR,09/22/2015,71.83,-153.82,62.70,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.75,31.39,3.16,0.99,3.19,,0.18,
,qPCR,09/24/2015,72.17,-156.22,0.00,,,,,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,0.80,27.72,0.15,0.54,0.28,,0.82,
,qPCR,09/24/2015,72.17,-156.22,17.80,,,,,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,4.31,30.12,nan,0.47,0.81,,0.55,
,qPCR,09/24/2015,72.17,-156.22,39.90,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,4.47,30.72,0.53,0.61,0.87,,0.80,
,qPCR,09/24/2015,72.17,-156.22,66.10,,,,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,3.08,31.59,3.16,0.81,3.90,,0.11,
,qPCR,09/24/2015,73.21,-157.80,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.20,25.49,0.20,0.52,0.38,,0.30,
,qPCR,09/24/2015,73.21,-157.80,29.60,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.65,29.03,nan,0.64,0.19,,0.26,
,qPCR,09/24/2015,73.21,-157.80,60.60,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.66,31.24,1.32,0.83,1.59,,0.20,
,qPCR,09/24/2015,73.21,-157.80,82.20,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.60,31.77,5.70,1.16,4.91,,0.15,
,qPCR,09/25/2015,73.14,-162.30,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,1.20,31.10,0.46,0.59,0.78,,0.49,
,qPCR,09/25/2015,73.14,-162.30,19.70,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.97,31.15,0.40,0.60,0.67,,0.48,
,qPCR,09/25/2015,73.14,-162.30,45.80,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-0.93,32.12,6.84,1.22,5.61,,0.13,
,qPCR,09/25/2015,73.14,-162.30,71.30,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-1.58,32.51,15.46,1.82,8.49,,0.06,
,qPCR,09/26/2015,73.31,-160.76,0.00,,,,,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,0.20,27.34,0.17,0.56,0.30,,0.40,
,qPCR,09/26/2015,73.31,-160.78,20.30,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,3.48,31.02,0.51,0.62,0.82,,0.74,
,qPCR,09/26/2015,73.31,-160.78,44.70,,,,,0.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,0.85,31.34,2.00,0.82,2.44,,0.31,
,qPCR,09/26/2015,73.31,-160.78,71.60,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-1.46,32.36,14.33,1.73,8.28,,0.36,
,qPCR,09/27/2015,73.48,-160.14,0.00,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.10,25.90,0.18,0.52,0.35,,0.37,
,qPCR,09/27/2015,73.48,-160.14,24.60,,,,,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.18,28.28,nan,0.58,0.21,,0.48,
,qPCR,09/27/2015,73.48,-160.14,57.10,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,0.08,31.15,0.77,0.83,0.93,,0.26,
,qPCR,09/27/2015,73.48,-160.14,90.20,,,,,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,-1.08,32.06,9.29,1.42,6.54,,0.07,
