SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (mm/dd/yyyy),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2 nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-3),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-3),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-3),Richelia Associated Species,Richelia nifH Gene (x106 copies m-3),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-3),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-3),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),N:P ratio,Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,2010 May 12-17,21.00,120.00,30.00,62.17,,,,,20.67,,28.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,120.00,50.00,8.28,,,,,11.04,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,120.00,70.00,2.09,,,,,3.33,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,120.00,100.00,3.23,,,,,2.98,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,120.00,150.00,7.13,,,,,5.39,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,120.00,200.00,1.15,,,,,1.61,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,5.00,96.87,,,,,10.27,,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,12.00,20.14,,,,,8.50,,16.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,33.00,13.37,,,,,46.39,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,45.00,14.38,,,,,21.01,,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,77.00,3.51,,,,,2.78,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,100.00,3.49,,,,,1.61,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,150.00,1.42,,,,,2.32,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,119.50,200.00,1.26,,,,,1.25,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,118.00,5.00,807.22,,,,,15.58,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,118.00,22.00,173.75,,,,,13.85,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,118.00,59.00,9.55,,,,,2.84,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,118.00,80.00,8.33,,,,,1.84,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,118.00,100.00,5.57,,,,,nan,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,118.00,138.00,2.04,,,,,2.66,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,118.00,200.00,2.23,,,,,3.38,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.60,5.00,307.60,,,,,15.07,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.60,20.00,303.64,,,,,53.20,,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.60,26.00,67.35,,,,,14.87,,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.60,54.00,1.60,,,,,7.37,,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.60,74.00,6.06,,,,,2.55,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.60,127.00,2.49,,,,,1.19,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,5.00,243.14,,,,,11.64,,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,11.00,573.61,,,,,18.92,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,28.00,16.90,,,,,3.23,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,39.00,5.43,,,,,2.14,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,66.00,12.33,,,,,3.16,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,100.00,6.51,,,,,2.06,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,150.00,nan,,,,,2.76,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,117.00,200.00,2.15,,,,,2.44,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,5.00,48.41,,,,,16.97,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,13.00,22.78,,,,,20.45,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,36.00,24.31,,,,,21.41,,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,49.00,4.73,,,,,9.23,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,83.00,1.78,,,,,nan,,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,100.00,2.54,,,,,2.39,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,150.00,4.53,,,,,2.54,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 May 12-17,21.00,116.50,200.00,nan,,,,,2.16,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,5.00,11.01,,,,,nan,,173.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,15.00,3.57,,,,,1.23,,110.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,30.00,33.07,,,,,1.44,,233.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,50.00,4.86,,,,,nan,,95.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,75.00,11.09,,,,,nan,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,100.00,61.57,,,,,nan,,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,115.00,24.79,,,,,nan,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,150.00,7.25,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.38,122.50,200.00,16.63,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,120.00,5.00,26.17,,,,,1.10,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,120.00,30.00,10.45,,,,,nan,,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,120.00,50.00,11.16,,,,,nan,,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,120.00,100.00,12.97,,,,,nan,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,120.00,120.00,5.26,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,120.00,200.00,2.59,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.50,5.00,5.81,,,,,2.10,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.50,15.00,67.48,,,,,nan,,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.50,40.00,54.37,,,,,nan,,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.50,54.00,8.67,,,,,nan,,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.50,93.00,2.63,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.50,100.00,4.07,,,,,nan,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.50,200.00,7.94,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.00,5.00,8.07,,,,,1.06,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.00,30.00,13.85,,,,,nan,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.00,50.00,15.58,,,,,nan,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.00,80.00,19.21,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.00,100.00,2.96,,,,,nan,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,119.00,200.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,118.00,5.00,13.09,,,,,2.65,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,118.00,15.00,8.10,,,,,1.52,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,118.00,30.00,9.47,,,,,nan,,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,118.00,50.00,22.30,,,,,nan,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,118.00,75.00,6.15,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,118.00,150.00,3.50,,,,,nan,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,118.00,200.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.60,5.00,2.19,,,,,1.79,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.60,30.00,11.45,,,,,1.59,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.60,50.00,3.87,,,,,1.64,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.60,75.00,1.80,,,,,nan,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.60,100.00,11.31,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.60,200.00,nan,,,,,nan,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,5.00,13.40,,,,,nan,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,13.00,4.46,,,,,2.31,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,34.00,18.96,,,,,6.93,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,47.00,10.95,,,,,nan,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,80.00,5.50,,,,,nan,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,100.00,7.84,,,,,3.95,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,150.00,nan,,,,,nan,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,117.00,200.00,nan,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,116.50,5.00,11.53,,,,,nan,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2010 September 4-10,21.00,116.50,30.00,16.31,,,,,nan,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
