SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),UCYN-A1 nifH Gene (x106 copies m-2),UCYN-A2 nifH Gene (x106 copies m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-B nifH Gene (x106 copies m-2),UCYN-C nifH Gene (x106 copies m-2),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Calothrix nifH Gene  (x106 copies m-2),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,qPCR,9/18/2015,72.47,-155.40,69.00,,,3.49,3.49,,,,,,,,,0.80,26.66,0.15,0.54,,0.29,
,qPCR,9/19/2015,72.38,-156.00,54.00,,,6.02,6.02,,,,,,,,,0.70,26.75,#REF!,0.55,,0.36,
,qPCR,9/20/2015,72.29,-156.03,45.00,,,31.89,31.89,,,,,,,,,0.50,27.18,#REF!,0.54,,0.53,
,qPCR,9/22/2015,71.83,-153.82,62.70,,,n.d.,n.d.,,,,,,,,,0.50,27.08,0.13,0.57,,0.27,
,qPCR,9/24/2015,72.17,-156.22,66.10,,,9.48,9.48,,,,,,,,,0.80,27.72,0.15,0.54,,0.82,
,qPCR,9/24/2015,73.21,-157.80,82.20,,,n.d.,n.d.,,,,,,,,,-0.20,25.49,0.20,0.52,,0.30,
,qPCR,9/25/2015,73.14,-162.30,71.30,,,n.d.,n.d.,,,,,,,,,1.20,31.10,0.46,0.59,,0.49,
,qPCR,9/26/2015,73.31,-160.78,71.60,,,4.17,4.17,,,,,,,,,0.20,27.34,0.17,0.56,,0.40,
,qPCR,9/27/2015,73.48,-160.14,90.20,,,2.27,2.27,,,,,,,,,0.10,25.90,0.18,0.52,,0.37,
,qPCR,9/28/2015,74.46,-166.64,87.30,,,n.d.,n.d.,,,,,,,,,-0.60,26.64,#REF!,0.51,,0.32,
,qPCR,9/29/2015,72.00,-168.75,37.10,,,1.89,1.89,,,,,,,,,2.30,31.77,0.47,0.59,,2.72,
,qPCR,10/3/2015,67.00,-168.75,35.20,,,n.d.,n.d.,,,,,,,,,3.70,32.80,25.12,2.31,,0.70,
Stenegren et al. 2018. Biogeosciences.,qPCR,2/22/2015,-18.00,159.90,105.00,75770.43,890.86,89.77,980.63,32623.65,nan,,3302.36,,,,,,,,,,,
,qPCR,2/23/2015,-18.62,162.12,105.00,5766.62,135.16,41.97,177.12,6673.88,9.25,,6587.57,,,,,,,,,,,
data shown in Figure 1 and Supplementary Table S3,qPCR,2/24/2015,-19.50,165.00,105.00,91772.77,8.47,nan,8.47,768.00,nan,,315.12,,,,,,,,,,,
,qPCR,2/26/2015,-19.21,164.69,105.00,36638.55,nan,nan,,11.37,nan,,33.60,,,,,,,,,,,
,qPCR,3/4/2015,-19.91,168.00,105.00,13586.72,253.40,94.02,347.42,110.56,8.75,,1233.44,,,,,,,,,,,
,qPCR,3/5/2015,-22.00,170.00,105.00,27158.74,23.46,3.35,26.81,520.77,nan,,393.12,,,,,,,,,,,
,qPCR,3/6/2015,-21.37,172.13,105.00,8765.40,1361.36,113.49,1474.85,57981.96,nan,,262.77,,,,,,,,,,,
,qPCR,3/7/2015,-20.73,174.27,119.00,7099.57,74.26,18.98,93.24,42753.92,nan,,773.43,,,,,,,,,,,
,qPCR,3/8/2015,-20.70,176.40,135.00,49686.91,5285.63,56.62,5342.25,6364.01,nan,,245.18,,,,,,,,,,,
,qPCR,3/9/2015,-20.97,178.64,131.00,0.00,365.96,61.34,427.30,11196.76,0.40,,1876.18,,,,,,,,,,,
,qPCR,3/10/2015,-20.45,-178.51,133.00,24363.22,123.29,9.93,133.22,683.06,nan,,536.82,,,,,,,,,,,
,qPCR,3/11/2015,-19.99,-175.67,135.00,12244.08,39.28,3.41,42.69,4555.37,nan,,260.40,,,,,,,,,,,
,qPCR,3/12/2015,-19.50,-172.80,128.00,19509.35,1037.39,169.49,1206.87,15214.44,nan,,44.77,,,,,,,,,,,
,qPCR,3/15/2015,-18.24,-170.86,82.00,18695.85,0.33,nan,0.33,66.42,nan,,107.20,,,,,,,,,,,
,qPCR,3/21/2015,-18.20,-169.07,85.00,774.98,nan,nan,,415.25,nan,,1.51,,,,,,,,,,,
,qPCR,3/23/2015,-18.43,-165.92,180.00,34.55,1486.98,3968.12,5455.10,27025.91,nan,,300.15,,,,,,,,,,,
,qPCR,3/29/2015,-18.41,-163.00,165.00,0.00,nan,nan,,15.91,nan,,6.96,,,,,,,,,,,
,qPCR,3/30/2015,-18.27,-160.00,174.00,0.00,nan,nan,,11.39,nan,,0.00,,,,,,,,,,,
" Angelicque E. White et al., (2018) doi:10.3389/fmars.2018.00027",qPCR,4/15/2015,22.75,-158.00,45.00,48.65,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",357.35,,,,,,,,,,,
,qPCR,5/15/2015,22.75,-158.00,45.00,34.16,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",200.79,,,,,,,,,,,
,qPCR,6/15/2015,22.75,-158.00,45.00,2315.57,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",426.47,,,,,,,,,,,
,qPCR,7/15/2015,22.75,-158.00,45.00,31391.01,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",5601.83,,,,,,,,,,,
,qPCR,8/15/2015,22.75,-158.00,45.00,10342.62,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",2450.25,,,,,,,,,,,
,qPCR,10/15/2015,22.75,-158.00,45.00,33220.40,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",4818.92,,,,,,,,,,,
,qPCR,11/15/2015,22.75,-158.00,45.00,65639.84,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",490.14,,,,,,,,,,,
,qPCR,12/15/2015,22.75,-158.00,45.00,7390.04,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",269.91,,,,,,,,,,,
,qPCR,1/16/2016,22.75,-158.00,45.00,4148.55,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",205.16,,,,,,,,,,,
,qPCR,2/16/2016,22.75,-158.00,45.00,81.05,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",196.92,,,,,,,,,,,
,qPCR,3/16/2016,22.75,-158.00,45.00,46.71,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",112.41,,,,,,,,,,,
,qPCR,4/16/2016,22.75,-158.00,45.00,26.69,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",248.67,,,,,,,,,,,
,qPCR,5/16/2016,22.75,-158.00,45.00,123.66,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",74.88,,,,,,,,,,,
,qPCR,7/16/2016,22.75,-158.00,45.00,376.83,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",388.71,,,,,,,,,,,
,qPCR,8/16/2016,22.75,-158.00,45.00,460.31,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",124.79,,,,,,,,,,,
,qPCR,10/16/2016,22.75,-158.00,45.00,2659.77,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",280.71,,,,,,,,,,,
, qPCR,11/16/2016,22.75,-158.00,45.00,190.49,,,,,,"Heterocysts associated w/Rhizosolenia，heterocysts w/ Hemialus，Free Richelia ,Richelia Associated Chaetoceros, others",6.66,,,,,,,,,,,
"Church et al, (2008), Limnol. Oceanogr, doi: 10.4319/lo.2008.53.1.0063",qPCR,3/15/2004,8.08,-158.27,150.00,0.00,,,43.00,16.00,,,nd,,,,,27.00,,1006000.00,,,36.00,2004 Feb
data come from Table 1.,qPCR,3/17/2004,10.78,-157.95,150.00,5.60,,,11.00,0.00,,,nd,,,,,26.20,,411100.00,,,32.00,2004 Feb
,qPCR,3/19/2004,12.70,-158.27,150.00,0.00,,,9.50,0.00,,Hemiaulus,85.00,,,,,26.20,,108000.00,,,,2004 Feb
,qPCR,3/21/2004,14.88,-158.11,150.00,31.00,,,1700.00,100.00,,Hemiaulus,63.00,,,,,25.40,,98000.00,,,28.00,2004 Feb
,qPCR,3/23/2004,18.97,-158.00,150.00,0.00,,,3500.00,62.00,,"Rhizosolenia,Hemiaulus",64.22,,,,,25.60,,0.00,,,36.00,2004 Feb
,qPCR,3/25/2004,20.25,-158.11,150.00,48.00,,,4400.00,5.00,,Hemiaulus,66.00,,,,,25.60,,0.00,,,24.00,2004 Feb
,qPCR,4/3/2003,23.63,-157.32,150.00,13.00,,,4300.00,64.00,,"Rhizosolenia,Hemiaulus",0.19,,,,,23.70,,9400.00,,,12.20,2003 Apr
,qPCR,10/5/2003,25.25,-156.85,150.00,320.00,,,320.00,3000.00,,"Rhizosolenia,Hemiaulus",1250.00,,,,,26.00,,41000.00,,,16.50,2003 Oct
,qPCR,4/5/2003,27.28,-156.85,150.00,9.80,,,5700.00,3.50,,"Rhizosolenia,Hemiaulus",0.14,,,,,21.60,,45000.00,,,10.60,2003 Apr
,qPCR,10/7/2003,29.87,-155.91,150.00,15.00,,,1100.00,120.00,,"Rhizosolenia,Hemiaulus",180.19,,,,,24.20,,95600.00,,,15.30,2003 Oct
,qPCR,4/7/2003,32.53,-156.06,150.00,0.00,,,0.00,0.00,,,nd,,,,,16.30,,168000.00,,,12.60,2003 Apr
,qPCR,4/8/2003,33.25,-155.91,150.00,0.00,,,17.00,2.20,,,nd,,,,,14.70,,218000.00,,,27.10,2003 Apr
,qPCR,10/8/2003,34.70,-154.96,150.00,0.00,,,2.80,0.00,,Hemiaulus,1.90,,,,,22.70,,277000.00,,,15.80,2003 Oct
,qPCR,4/9/2003,47.23,-151.66,150.00,0.00,,,0.00,0.00,,,nd,,,,,5.10,,2553000.00,,,25.20,2003 Apr
,qPCR,10/8/2003,47.63,-151.71,150.00,0.00,,,0.00,0.00,,,nd,,,,,13.10,,2358000.00,,,16.60,2003 Oct
"Deniz Bombar et al,. 2015, J. Plankton Res.,doi:10.1093/plankt/fbv049",qPCR,9/10/2011,24.61,-157.58,175.00,6.69,,,140.26,21.00,,"Rhizosolenia,Hemiaulus",0.05,,,,,,,,,,,
data come from Figure 6.,qPCR,9/11/2011,24.70,-157.43,175.00,3.78,,,101.10,18.42,,"Rhizosolenia,Hemiaulus",0.06,,,,,,,,,,,
,qPCR,9/12/2011,24.77,-157.28,175.00,30.64,,,72.87,3.15,,"Rhizosolenia,Hemiaulus",0.18,,,,,,,,,,,
,qPCR,9/13/2011,24.80,-157.17,175.00,30.64,,,40.42,0.39,,"Rhizosolenia,Hemiaulus",0.09,,,,,,,,,,,
,qPCR,9/16/2011,25.02,-157.51,175.00,5.90,,,149.75,22.42,,"Rhizosolenia,Hemiaulus",0.01,,,,,,,,,,,
,qPCR,9/17/2011,25.03,-157.57,175.00,9.19,,,194.58,14.18,,"Rhizosolenia,Hemiaulus",0.01,,,,,,,,,,,
,qPCR,9/18/2011,25.04,-157.66,175.00,7.60,,,63.93,2.58,,"Rhizosolenia,Hemiaulus",0.02,,,,,,,,,,,
,qPCR,9/19/2011,25.06,-157.78,175.00,13.44,,,56.08,1.03,,"Rhizosolenia,Hemiaulus",0.02,,,,,,,,,,,
" Andreas Krupke et al,(2013) elsevier, doi:http://dx.doi.org/10.1016/j.syapm.2013.02.002 ", qPCR ,12/9/2010,16.76,-25.12,60.00,0.00,,,3200.00,1129.80, , , ,,,, ,,,,,,,
"Jenni-Marie Ratten et al,.(2014), doi:org/10.1016/j.dsr2.2014.11.012", qPCR ,11/1/2011,31.86,-64.31,235.00,40.06,,,18.51,7.10,0.00," Rhizosolenia– Richelia symbionts, Hemiaulus– Richelia symbiont ",248.97,,,, ,,,,,,,
找不到数据来源, qPCR ,11/15/2011,17.57,-24.66,90.00,17010.50,,,6728.50,424.89,31.67," Rhizosolenia– Richelia symbionts, Hemiaulus– Richelia symbiont ",158.37,,,, ,,,,,,,
" Wu et al. 2019, doi: 10.1007/s00248-019-01355-1 ", qPCR ,3/9/2017,-4.00,96.33,200.00,34536.20,,, , , , , ,,,, ,,,,,,,
, qPCR ,3/12/2017,0.00,92.00,200.00,39646.66,,, ,4936.64, , , ,,,, ,,,,,,,
, qPCR ,3/13/2017,2.00,92.57,200.00,16891.45,,, ,11983.71, , , ,,,, ,,,,,,,
, qPCR ,3/14/2017,4.99,90.50,200.00,10499.71,,, ,885.32, , , ,,,, ,,,,,,,
, qPCR ,3/18/2017,0.00,88.00,200.00,1966.70,,, ,304.42, , , ,,,, ,,,,,,,
, qPCR ,3/19/2017,0.00,84.00,200.00,2614.78,,, ,2951.58, , , ,,,, ,,,,,,,
, qPCR ,4/4/2017,9.99,84.49,200.00,74419.98,,, ,11798.84, , , ,,,, ,,,,,,,
, qPCR ,4/5/2017,10.00,86.50,200.00,85677.66,,, ,790.14, , , ,,,, ,,,,,,,
, qPCR ,4/7/2017,9.25,89.13,100.00,45025.00,,, ,19416.00, , , ,,,, ,,,,,,,
, qPCR ,4/7/2017,10.00,87.99,200.00,3103079.19,,, ,39098.85, , , ,,,, ,,,,,,,
" Chen et al. 2019,doi: 10.1002/lno.11123 ", qPCR ,12/19/2015,0.00,137.00,30.00,4084.71,0.00,0.00,0.00,46.52,0.00," Rhizosolenia,Hemiaulus ",56.57,,,,0.00,,,,,,,
, qPCR ,12/22/2015,0.00,139.00,75.00,4668.31,0.00,0.00,0.00,154.40,15.94," Rhizosolenia,Hemiaulus ",295.62,,,,0.00,,,,,,,
, qPCR ,12/24/2015,0.00,142.00,100.00,345018.49,0.00,0.00,0.00,834.68,947.33," Rhizosolenia,Hemiaulus ",3103.05,,,,0.00,,,,,,,
, qPCR ,12/26/2015,0.00,145.00,75.00,4251.21,0.00,0.00,0.00,12.84,4.50," Rhizosolenia,Hemiaulus ",208.58,,,,0.00,,,,,,,
, qPCR ,12/28/2015,0.00,148.00,100.00,153.90,0.00,0.00,0.00,8.19,0.00," Rhizosolenia,Hemiaulus ",21.18,,,,0.00,,,,,,,
, qPCR ,12/30/2015,0.00,151.00,100.00,2663.03,0.00,0.00,0.00,0.00,0.00," Rhizosolenia,Hemiaulus ",21.12,,,,0.00,,,,,,,
, qPCR ,1/1/2016,0.00,153.00,100.00,118.73,0.00,0.00,0.00,1.29,0.00," Rhizosolenia,Hemiaulus ",9.13,,,,0.00,,,,,,,
, qPCR ,1/3/2016,0.00,156.00,100.00,210.91,0.00,0.00,0.00,0.00,0.00," Rhizosolenia,Hemiaulus ",6.02,,,,0.00,,,,,,,
, qPCR ,1/5/2016,0.00,159.00,75.00,20.45,0.00,0.00,0.00,0.00,0.00," Rhizosolenia,Hemiaulus ",0.00,,,,0.00,,,,,,,
, qPCR ,1/10/2016,1.00,143.00,100.00,777.13,0.00,0.00,0.00,8.20,0.00," Rhizosolenia,Hemiaulus ",1339.78,,,,0.00,,,,,,,
, qPCR ,1/13/2016,4.00,143.00,100.00,56.53,0.00,0.00,0.00,19.19,0.00," Rhizosolenia,Hemiaulus ",25.55,,,,0.00,,,,,,,
, qPCR ,1/16/2016,8.00,143.00,100.00,119.74,0.00,0.00,0.00,1486.12,2.46," Rhizosolenia,Hemiaulus ",133.09,,,,0.00,,,,,,,
, qPCR ,1/19/2016,11.00,143.00,100.00,18.01,0.00,0.00,0.00,57.75,2.38," Rhizosolenia,Hemiaulus ",27.35,,,,0.00,,,,,,,
, qPCR ,6/15/2015,18.00,110.50,55.00,53566.83,121.12,,121.12,27.78,264.60," Rhizosolenia,Hemiaulus ",32.38,,,,,,,,,,,
, qPCR ,7/2/2015,21.00,119.00,90.00,4557.53,219.10,,219.10,10.67,13.86," Rhizosolenia,Hemiaulus ",4.33,,,,,,,,,,,
, qPCR ,6/14/2015,18.00,110.00,44.00,4940.23,418.52,,418.52,10.86,155.39," Rhizosolenia,Hemiaulus ",15.19,,,,,,,,,,,
, qPCR ,6/24/2015,18.00,115.50,90.00,330.09,2388.06,118.96,2507.03,84.41,42.04," Rhizosolenia,Hemiaulus ",16.25,,,,19.06,,,,,,,
, qPCR ,6/18/2015,18.00,112.50,150.00,22265.08,12903.10,,12903.10,12.71,6.73," Rhizosolenia,Hemiaulus ",19.97,,,,,,,,,,,
, qPCR ,6/27/2015,20.00,118.00,90.00,4862.03,3.58,,3.58,5.20,7.43," Rhizosolenia,Hemiaulus ",15.80,,,,,,,,,,,
"Turk Kubo et al., 2014. Environmental Microbiology", qPCR ,2/1/2010,-20.00,-80.00,100.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/3/2010,-20.00,-85.00,100.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/3/2010,-20.00,-85.00,120.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/5/2010,-20.00,-90.00,130.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/9/2010,-20.00,-100.00,200.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/12/2010,-15.00,-100.00,100.00,0.00,,,,0.00,0.00,Rhizosolenia and Hemiaulus,0.00,,,,,,,,,,,
, qPCR ,2/14/2010,-10.00,-100.00,100.00,0.00,,,,0.00,0.00,Rhizosolenia and Hemiaulus,0.00,,,,,,,,,,,
, qPCR ,2/17/2010,-10.00,-95.00,100.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/19/2010,-10.00,-91.00,145.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/21/2010,-10.00,-86.00,80.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,2/25/2010,-10.00,-83.00,100.00,0.00,,,,0.00,0.00,,,,,,,,,,,,,
, qPCR ,4/16/2010,-20.00,-90.00,175.00,0.00,1000.00,,,0.00,0.00,Rhizosolenia and Hemiaulus,0.00,,,,0.00,,,,,,,
, qPCR ,4/11/2011,-20.00,-100.00,220.00,0.00,,,,0.00,0.00,Rhizosolenia and Hemiaulus,0.00,,,,0.00,,,,,,,
, qPCR ,4/6/2011,-10.00,-100.00,220.00,3.90,,,,0.00,0.00,Rhizosolenia and Hemiaulus,0.00,,,,0.00,,,,,,,
, qPCR ,4/2/2011,-10.00,-91.00,225.00,18.00,,,,0.00,0.00,Rhizosolenia and Hemiaulus,0.00,,,,0.00,,,,,,,
, qPCR ,3/20/2011,-10.00,-86.00,200.00,0.00,,,,0.00,0.00,Rhizosolenia and Hemiaulus,0.00,,,,0.00,,,,,,,
"Wen et al., 2022 DOI: 10.1126/sciadv.abl7564", qPCR ,6/28/2019,21.32,118.84,75.00,554.37,63.21,56.95,120.16,145.49,,,29.03,,,,,,,,,,,
, qPCR ,6/27/2019,20.33,114.82,130.00,723.00,1187.12,232.90,1420.02,358.28,,,89.06,,,,,,,,,,,
, qPCR ,6/25/2019,19.75,115.12,150.00,4372.90,12172.91,529.74,12702.65,584.67,,,75.14,,,,,,,,,,,
, qPCR ,6/24/2019,19.00,115.50,150.00,5441.77,7671.64,617.45,8289.10,959.95,,,123.42,,,,,,,,,,,
, qPCR ,6/20/2019,18.00,116.00,150.00,6291.82,1762.60,387.69,2150.29,396.90,,,69.30,,,,,,,,,,,
, qPCR ,6/19/2019,19.00,117.00,150.00,1405.85,26.43,54.90,81.34,61.16,,,32.32,,,,,,,,,,,
, qPCR ,6/18/2019,21.32,118.84,150.00,2356.77,6880.27,890.51,7770.79,5582.85,,,140.61,,,,,,,,,,,
, qPCR ,7/1/2019,21.83,119.10,150.00,4989.02,48.25,111.14,159.40,1042.45,,,160.95,,,,,,,,,,,
, qPCR ,4/27/2019,21.02,121.23,120.00,1512.16,52171.75,4415.23,56586.98,150515.76,,,319.45,,,,,,,,,,,
, qPCR ,5/2/2019,20.00,125.83,150.00,1781.03,40077.98,1695.18,41773.16,209774.93,,,274.60,,,,,,,,,,,
, qPCR ,5/4/2019,18.60,130.42,150.00,2058.24,88039.97,5111.53,93151.50,174024.46,,,227.24,,,,,,,,,,,
, qPCR ,5/20/2019,18.60,130.42,120.00,4110.11,46758.87,2639.07,49397.93,140170.24,,,211.48,,,,,,,,,,,
, qPCR ,5/21/2019,17.19,140.01,140.00,1135.37,22340.93,1265.52,23606.45,213724.30,,,107.67,,,,,,,,,,,
, qPCR ,5/24/2019,17.11,145.02,150.00,399.93,12173.54,1014.92,13188.46,190163.01,,,158.80,,,,,,,,,,,
, qPCR ,5/26/2019,14.18,150.00,160.00,37.08,59.39,40.82,100.22,8225.06,,,235.76,,,,,,,,,,,
, qPCR ,5/28/2019,10.99,154.97,145.00,34.49,82.40,38.22,120.62,267.51,,,28.23,,,,,,,,,,,
, qPCR ,5/31/2019,11.01,149.97,140.00,1236.10,20.46,53.86,74.32,55.14,,,46.38,,,,,,,,,,,
, qPCR ,6/2/2019,11.03,144.97,115.00,7.59,8.35,40.52,48.87,146.61,,,24.44,,,,,,,,,,,
, qPCR ,6/4/2019,11.02,139.79,120.00,7.03,8.95,48.92,57.88,61.55,,,37.24,,,,,,,,,,,
, qPCR ,6/6/2019,11.02,134.69,110.00,7.31,14.39,42.38,56.77,88.03,,,23.51,,,,,,,,,,,
, qPCR ,6/7/2019,11.00,129.96,100.00,90.66,43.54,40.64,84.17,1339.39,,,41.60,,,,,,,,,,,
, qPCR ,6/9/2019,15.50,127.77,125.00,2594.21,66416.04,5307.66,71723.70,274127.84,,,129.90,,,,,,,,,,,
"Sato et al, 2020 doi: 10.1029/2020JC017071 ", qPCR ,6/5/2018,42.52,139.70,65.00,,156.38,,,,,,,,,,,,,,,,,
, qPCR ,6/2/2018,44.50,144.33,72.00,,2041.89,,,,,,,,,,,,,,,,,
, qPCR ,6/4/2018,45.32,142.68,58.00,,2215.01,,,,,,,,,,,,,,,,,
"Liu et al., 2020 doi: 10.1016/j.rsma.2020.101106", qPCR ,5/13/2014,20.49,118.49,100.00,785.65,,,126.86,5739.78,,,,,,,,,,,,,,
, qPCR ,5/13/2014,20.49,117.00,100.00,3392.05,,,391.27,13889.17,,,,,,,,,,,,,,
, qPCR ,5/13/2014,20.49,116.50,100.00,1472.63,,,782.25,16945.83,,,,,,,,,,,,,,
, qPCR ,5/13/2014,20.50,116.50,100.00,190010.00,,,2626.25,3643.75,,,,,,,,,,,,,,
, qPCR ,5/14/2014,20.50,117.50,100.00,3070.63,,,986.72,1745.16,,,,,,,,,,,,,,
, qPCR ,5/14/2014,20.50,118.50,100.00,13573.75,,,784.69,1809.38,,,,,,,,,,,,,,
, qPCR ,8/5/2015,20.50,119.50,100.00,64027.19,,,2869.38,1764.06,,,,,,,,,,,,,,
, qPCR ,8/6/2015,20.50,120.50,100.00,50911.88,,,862.81,5915.63,,,,,,,,,,,,,,
, qPCR ,8/11/2015,20.50,117.50,100.00,896.50,,,233.40,4649.17,,,,,,,,,,,,,,
, qPCR ,8/11/2015,20.51,120.33,100.00,1960.75,,,234.75,3077.38,,,,,,,,,,,,,,
, qPCR ,8/12/2015,20.52,119.52,100.00,659.58,,,179.74,5337.50,,,,,,,,,,,,,,
"Hallstrom et al., 2022 doi: 10.1007/s10533-022-00940-w", qPCR ,7/14/2017,23.00,-16.80,30.00,0.00,0.02,187.37,187.39,,,,,,,,,,,,#REF!,,,
, qPCR ,7/15/2017,23.00,-18.50,DCM,0.00,1687.72,38.99,1726.70,,,,,,,,,,,,#REF!,,,
Integratal data come from figure 4b, qPCR ,7/16/2017,23.00,-19.31,60.00,0.00,4329.12,284.77,4613.90,,,,,,,,,,,,#REF!,,,
some date estimate from supplementary table, qPCR ,7/17/2017,23.00,-20.20,DCM,0.00,0.00,23.10,23.10,,,,,,,,,,,,#REF!,,,
, qPCR ,7/18/2017,23.00,-21.82,50.00,0.00,11104.53,230.99,11335.52,,,,,,,,,,,,#REF!,,,
, qPCR ,7/19/2017,23.00,-23.50,DCM,0.00,16877.18,533.70,17410.89,,,,,,,,,,,,#REF!,,,
, qPCR ,7/21/2017,23.00,-26.00,100.00,28.48,11104.53,1519.85,12624.37,,,,,,,,,,,,#REF!,,,
, qPCR ,7/22/2017,20.05,-26.00,DCM,0.00,2080.65,168.77,2249.43,,,,,,,,,,,,#REF!,,,
, qPCR ,7/24/2017,19.90,-26.00,80.00,0.00,13689.89,9.01,13698.90,,,,,,,,,,,,#REF!,,,
, qPCR ,7/29/2017,17.50,-25.26,65.00,12.33,90053.38,31.62,90085.00,,,,,,,,,,,,#REF!,,,
, qPCR ,7/31/2017,17.50,-23.03,60.00,0.00,23.10,0.00,23.10,,,,,,,,,,,,#REF!,,,
, qPCR ,8/2/2017,17.50,-20.80,34.00,208.07,0.00,151.98,151.98,,,,,,,,,,,,#REF!,,,
, qPCR ,8/4/2017,18.28,-18.57,DCM,4.33,0.00,11.10,11.10,,,,,,,,,,,,#REF!,,,
, qPCR ,8/6/2017,20.70,-18.57,21.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,#REF!,,,
Church and Zehr (2020), qPCR ,11/29/2004,22.75,-158.00,175.00,1393.72,,,4320.31,1466.84,,"Rhizosolenia,Hemiaulus",471.48,,,,1.19,,,,,,,
"dataset shown in preprint Dugenne et al., 2021 doi:10.1101/2021.06.03.446955", qPCR ,12/22/2004,22.75,-158.00,175.00,361.46,,,7460.75,106.63,,"Rhizosolenia,Hemiaulus",168.56,,,,8.05,,,,,,,
doi: 10.5281/zenodo.4728253, qPCR ,2/4/2005,22.75,-158.00,175.00,41.84,,,5901.47,11.91,,"Rhizosolenia,Hemiaulus",308.72,,,,0.00,,,,,,,
, qPCR ,3/6/2005,22.75,-158.00,175.00,0.00,,,26012.07,477.39,,"Rhizosolenia,Hemiaulus",2091.98,,,,32.49,,,,,,,
, qPCR ,5/21/2005,22.75,-158.00,175.00,96.20,,,21786.36,335.59,,"Rhizosolenia,Hemiaulus",517.37,,,,12.29,,,,,,,
, qPCR ,6/18/2005,22.75,-158.00,175.00,31.85,,,3899.40,126.37,,"Rhizosolenia,Hemiaulus",170.93,,,,8.59,,,,,,,
, qPCR ,7/19/2005,22.75,-158.00,175.00,5371.89,,,3350.27,554.78,,"Rhizosolenia,Hemiaulus",1756.97,,,,15.97,,,,,,,
, qPCR ,8/16/2005,22.75,-158.00,175.00,4955.98,,,1294.01,4807.55,,"Rhizosolenia,Hemiaulus",528.52,,,,33.79,,,,,,,
, qPCR ,9/12/2005,22.75,-158.00,175.00,513.39,,,559.06,309.44,,"Rhizosolenia,Hemiaulus",13229.64,,,,8.09,,,,,,,
