SOURCE: Data,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,Integral DEPTH (m),Trichodesmium nifH Gene (x106 copies m-2),Trichodesmium Biomass Conversion factor (mg C/106 nifH copies),Trichodesmium Biomass (mg C m-2),UCYN-A1 nifH Gene (x106 copies m-2),UCYN-A2 nifH Gene (x106 copies m-2),UCYN-A nifH Gene (x106 copies m-2),UCYN-A Biomass Conversion factor (mg C/106 nifH copies),UCYN-B nifH Gene (x106 copies m-2),UCYN-B Biomass Conversion factor (mg C/106 nifH copies),UCYN-C nifH Gene (x106 copies m-2),UCYN-C Biomass Conversion factor (mg C/106 nifH copies),UCYN Biomass (mg C m-2),Richelia Associated Species,Richelia nifH Gene (x106 copies m-2),Richelia Biomass Conversion factor (mg C/106 nifH copies),Calothrix Associated Species,Calothrix nifH Gene  (x106 copies m-2),Calothrix Biomass Conversion factor (mg C/106 nifH copies),Heterocyst (Richelia & Calotrhix) Biomass (mg C m-2),Gamma 1 nifH Gene (x106 copies/m3),Gamma 2 nifH Gene (x106 copies/m3),Gamma 3 nifH Gene (x106 copies/m3),Gamma 4 nifH Gene (x106 copies/m3),Gamma nifH Gene (x106 copies/m3),alpha nifH Gene (x106 copies/m3),Beta nifH Gene (x106 copies/m3),CIII nifH Gene (x106 copies/m3),Total Diazotrophic Biomass (mg C m-2),Surface Temperature (˚C),Surface Salinity (PSU),Surface Nitrate (µM),Surface Phosphate (µM),N:P ratio,Surface Fe (nM),Chlorophyll  (mg m-2),Notes
,qPCR,2004-03-27,38.99,-44.01,200,0.00,0.3,0.00,,,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,,,,,,,,,,17.28,36.43,1.657,0.207,7.99,,,
,qPCR,2004-03-28,42.00,-43.00,100,0.00,0.3,0.00,,,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,,,,,,,,,,16.29,36.34,4.094,0.331,12.36,,,
,qPCR,2004-04-01,33.01,-41.49,165,15.47,0.3,4.64,,,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,,,,,,,,,,19.75,36.67,0.010,0.116,0.08,,,
,qPCR,2004-04-04,33.98,-30.63,160,0.00,0.3,0.00,,,8.17,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,,,,,,,,,,18.47,36.59,0.205,0.116,1.76,,,
,qPCR,2004-04-05,33.98,-30.17,150,0.00,0.3,0.00,,,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,,,,,,,,,,17.93,36.46,0.263,0.084,3.13,,,
,qPCR,2004-04-05,32.58,-28.58,140,0.00,0.3,0.00,,,13.41,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,,,,,,,,,,19.18,36.68,0.088,0.068,1.30,,,
,qPCR,2004-04-06,30.81,-26.73,160,92.79,0.3,27.84,,,805.62,0.0002,0.00,0.02,0.00,0.010 ,0.16,,,,,,,,,,,,,,,,,20.02,36.95,0.019,0.051,0.38,,,
,qPCR,2004-04-07,33.80,-25.13,110,0.00,0.3,0.00,,,173.90,0.0002,0.00,0.02,0.00,0.010 ,0.03,,,,,,,,,,,,,,,,,18.14,36.34,0.039,0.034,1.14,,,
,qPCR,2004-04-12,37.59,-13.48,125,0.00,0.3,0.00,,,0.00,0.0002,0.00,0.02,0.00,0.010 ,0.00,,,,,,,,,,,,,,,,,15.83,36.27,0.643,0.147,4.36,,,
,qPCR,2001-09-07,0.00,67.00,150,,,,,,,,13511.5502,0.02,,,270.2310,,,,,,,,,,,,,,,,,,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27"
,qPCR,2001-09-09,3.80,67.00,220,,,,,,,,1439.3443,0.02,,,28.7869,,,,,,,,,,,,,,,,,,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27"
,qPCR,2001-09-12,7.60,67.00,150,,,,,,,,783.0601,0.02,,,15.6612,,,,,,,,,,,,,,,,,,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27"
,qPCR,2001-09-26,26.00,56.58,95,,,,,,,,512.5683,0.02,,,10.2514,,,,,,,,,,,,,,,,,,,,,,,,"Sampling dates estimated, cruise in 2001-09-01 to 2001-09-27"
,qPCR,2006-04-17,9.99,108.78,75,10937.76,0.3,6.53,,,22.05,0.0002,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2006-04-18,10.32,109.07,120,7611.10,0.3,2283.33,,,0.00,0.0002,74.99,0.02,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2006-04-18,9.78,109.52,1144,5580.53,0.3,1674.16,,,0.00,0.0002,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2006-04-19,10.95,109.75,280,1410.69,0.3,423.21,,,0.00,0.0002,1.19,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2006-04-19,10.52,110.37,1700,14009.20,0.3,4202.76,,,0.00,0.0002,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2006-04-19,10.03,109.97,1500,2112.64,0.3,633.79,,,718.78,0.0002,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2006-04-20,11.63,109.51,126,1508.30,0.3,452.49,,,0.00,0.0002,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2006-04-20,11.39,110.09,600,769.39,0.3,230.82,,,0.00,0.0002,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
,qPCR,2003-03-17,-15.00,155.00,149,1479.06,0.3,443.72,,,4.10,0.0002,4921.97,0.02,,,98.44,"Rhizosolenia,Hemiaulus",20.53,0.010,,,,0.21,,,,,,,,,,29.17,34.44,2.000,114.115,,,0.08,
,qPCR,2003-03-18,-17.50,155.80,149,20.57,0.3,6.17,,,8843.43,0.0002,1677.52,0.02,,,35.32,"Rhizosolenia,Hemiaulus",5.76,0.010,,,,0.06,,,,,,,,,,28.21,34.75,1.429,115.016,,,0.06,
,qPCR,2003-03-19,-20.00,156.61,150,85.31,0.3,25.59,,,17541.38,0.0002,12906.11,0.02,,,261.63,"Rhizosolenia,Hemiaulus",27.91,0.010,,,,0.28,,,,,,,,,,27.66,34.93,7.072,113.515,,,0.02,
,qPCR,2003-03-20,-22.50,157.43,149,50.58,0.3,15.17,,,20186.63,0.0002,3494.72,0.02,,,73.93,"Rhizosolenia,Hemiaulus",35.86,0.010,,,,0.36,,,,,,,,,,27.08,35.14,3.592,98.353,,,0.03,
,qPCR,2003-03-21,-25.00,158.27,151,54.67,0.3,16.40,,,19532.41,0.0002,551.36,0.02,,,14.93,"Rhizosolenia,Hemiaulus",8.04,0.010,,,,0.08,,,,,,,,,,25.81,35.39,2.279,93.399,,,0.07,
,qPCR,2003-03-22,-27.50,159.12,150,127.37,0.3,38.21,,,38365.31,0.0002,608.92,0.02,,,19.85,"Rhizosolenia,Hemiaulus",10.68,0.010,,,,0.11,,,,,,,,,,25.30,35.67,7.471,55.268,,,0.10,
,qPCR,2003-03-22,-30.00,160.00,149,296.75,0.3,89.03,,,87001.38,0.0002,85.82,0.02,,,19.12,"Rhizosolenia,Hemiaulus",7.93,0.010,,,,0.08,,,,,,,,,,24.29,35.74,5.368,54.968,,,0.08,
,qPCR,2003-03-24,-27.69,162.03,150,154.78,0.3,46.43,,,72191.67,0.0002,1884.84,0.02,,,52.14,"Rhizosolenia,Hemiaulus",16.36,0.010,,,,0.16,,,,,,,,,,24.27,35.90,,,,,0.09,
,qPCR,2003-03-25,-25.38,164.01,149,640.28,0.3,192.08,,,32768.90,0.0002,1110.69,0.02,,,28.77,,,,,,,,,,,,,,,,,25.16,35.65,20.000,65.000,,,0.10,
,qPCR,2003-03-28,-23.05,166.23,150,1342.37,0.3,402.71,,,10329.31,0.0002,1285.73,0.02,,,27.78,,,,,,,,,,,,,,,,,25.52,35.50,6.000,79.000,,,0.13,
,qPCR,2003-03-29,-22.55,170.39,149,8548.17,0.3,2564.45,,,13138.72,0.0002,1024.40,0.02,,,23.12,"Rhizosolenia,Hemiaulus",12.43,0.010,,,,0.12,,,,,,,,,,26.42,35.37,4.849,49.000,,,0.33,
,qPCR,2003-03-30,-22.05,174.35,129,18883.55,0.3,5665.07,,,10544.72,0.0002,2045.54,0.02,,,43.02,,,,,,,,,,,,,,,,,26.72,35.48,5.539,40.000,,,0.17,
,qPCR,2003-03-31,-21.55,178.30,149,11092.17,0.3,3327.65,,,8852.98,0.0002,5158.36,0.02,,,104.94,,,,,,,,,,,,,,,,,27.95,35.21,2.045,32.000,,,0.10,
,qPCR,2003-04-02,-21.05,-177.77,150,15440.88,0.3,4632.26,,,0.93,0.0002,468.92,0.02,,,9.38,,,,,,,,,,,,,,,,,27.37,35.08,7.996,26.000,,,0.12,
,qPCR,2003-04-03,-20.47,-173.55,148,21605.72,0.3,6481.72,,,35.68,0.0002,5115.66,0.02,,,102.32,,,,,,,,,,,,,,,,,27.74,35.50,7.507,89.000,,,0.15,
,qPCR,2003-04-05,-20.00,-170.00,150,230.21,0.3,69.06,,,202.85,0.0002,3912.39,0.02,,,78.29,,,,,,,,,,,,,,,,,27.92,35.21,2.731,131.000,,,0.04,
,qPCR,2003-04-06,-17.50,-170.00,175,1143.64,0.3,343.09,,,0.41,0.0002,18475.16,0.02,,,369.50,,,,,,,,,,,,,,,,,29.00,35.18,-0.110,144.000,,,0.19,
,qPCR,2003-04-07,-15.00,-170.00,149,51088.54,0.3,15326.56,,,221.07,0.0002,29832.62,0.02,,,596.70,,,,,,,,,,,,,,,,,29.98,35.01,1.015,97.000,,,0.10,
,qPCR,2003-04-08,-15.00,-173.75,169,29241.55,0.3,8772.46,,,37.70,0.0002,13011.61,0.02,,,260.24,,,,,,,,,,,,,,,,,29.48,35.13,0.106,111.000,,,0.16,
,qPCR,2003-04-09,-15.00,-177.50,150,788.63,0.3,236.59,,,423.42,0.0002,22438.94,0.02,,,448.86,,,,,,,,,,,,,,,,,29.15,35.08,-0.469,92.000,,,0.05,
,qPCR,2003-04-10,-15.00,178.75,150,96271.55,0.3,28881.46,,,2.96,0.0002,6231.89,0.02,,,124.64,"Rhizosolenia,Hemiaulus",455.76,0.010,,,,4.56,,,,,,,,,,28.94,34.99,6.135,33.000,,,0.33,
,qPCR,2003-04-12,-15.00,175.00,150,9881.61,0.3,2964.48,,,777.53,0.0002,64339.73,0.02,,,1286.95,"Rhizosolenia,Hemiaulus",42.07,0.010,,,,0.42,,,,,,,,,,29.39,34.23,0.012,114.000,,,0.06,
,qPCR,2003-04-13,-16.75,171.75,150,29624.83,0.3,8887.45,,,2623.70,0.0002,12018.53,0.02,,,240.90,"Rhizosolenia,Hemiaulus",126.60,0.010,,,,1.27,,,,,,,,,,28.80,34.80,21.681,61.000,,,0.20,
,qPCR,2006-06-22,18.39,-67.89,200,650.50,0.3,195.15,,,0.01,0.0002,0.40,0.02,,,0.01,"Hemiaulus, Rhizosolenia",51.71,0.010,,,,0.52,,,,,,,,,,28.76,36.42,,,,,,
,qPCR,2006-06-23,16.39,-65.13,150,58831.17,0.3,17649.35,,,200.00,0.0002,6.24,0.02,,,0.16,"Hemiaulus, Rhizosolenia",155.35,0.010,,,,1.55,,,,,,,,,,28.17,36.00,,,,,,
,qPCR,2006-06-27,12.26,-56.15,200,5186.91,0.3,1556.07,,,15.00,0.0002,34.45,0.02,,,0.69,"Hemiaulus, Rhizosolenia",21.48,0.010,,,,0.21,,,,,,,,,,28.44,31.77,,,,,,
,qPCR,2006-06-28,11.99,-54.45,200,22406.49,0.3,6721.95,,,0.01,0.0002,1.77,0.02,,,0.04,"Hemiaulus, Rhizosolenia",145.96,0.010,,,,1.46,,,,,,,,,,28.13,30.06,,0.000,,,,
,qPCR,2006-06-29,11.62,-51.50,200,13786.81,0.3,4136.04,,,0.06,0.0002,0.13,0.02,,,0.00,"Hemiaulus, Rhizosolenia",104.34,0.010,,,,1.04,,,,,,,,,,27.94,33.80,0.000,0.000,,,,
,qPCR,2006-06-30,11.71,-49.49,200,22529.66,0.3,6758.90,,,41.00,0.0002,5.11,0.02,,,0.11,"Hemiaulus, Rhizosolenia",11.71,0.010,,,,0.12,,,,,,,,,,27.43,36.07,,,,,,
,qPCR,2006-07-01,11.79,-46.16,200,8441.49,0.3,2532.45,,,670.00,0.0002,0.31,0.02,,,0.14,"Hemiaulus, Rhizosolenia",14.38,0.010,,,,0.14,,,,,,,,,,26.82,36.37,,,,,,
,qPCR,2006-07-03,11.79,-43.45,200,4156.02,0.3,1246.81,,,2.00,0.0002,0.52,0.02,,,0.01,"Hemiaulus, Rhizosolenia",10.70,0.010,,,,0.11,,,,,,,,,,27.38,36.14,,,,,,
,qPCR,2006-07-04,12.43,-40.13,200,378.04,0.3,113.41,,,510.00,0.0002,0.56,0.02,,,0.11,"Hemiaulus, Rhizosolenia",132.12,0.010,,,,1.32,,,,,,,,,,26.35,36.43,,,,,,
,qPCR,2006-07-06,13.92,-35.28,200,342.57,0.3,102.77,,,830.00,0.0002,25.86,0.02,,,0.68,"Hemiaulus, Rhizosolenia",0.11,0.010,,,,0.00,,,,,,,,,,26.01,36.40,,,,,,
,qPCR,2006-07-07,14.98,-31.96,200,38.12,0.3,11.44,,,11000.00,0.0002,0.14,0.02,,,2.20,"Hemiaulus, Rhizosolenia",11.31,0.010,,,,0.11,,,,,,,,,,25.19,36.35,,,,,,
,qPCR,2006-07-12,16.90,-25.00,200,651.75,0.3,195.52,,,4000.00,0.0002,4.19,0.02,,,0.88,"Hemiaulus, Rhizosolenia",8.01,0.010,,,,0.08,,,,,,,,,,26.93,36.16,,,,,,
,qPCR,2006-07-13,10.00,-28.77,200,2.69,0.3,0.81,,,650.00,0.0002,0.09,0.02,,,0.13,"Hemiaulus, Rhizosolenia",0.50,0.010,,,,0.01,,,,,,,,,,27.18,35.96,,,,,,
,qPCR,2006-07-14,6.65,-30.85,200,9100.89,0.3,2730.27,,,0.02,0.0002,0.23,0.02,,,0.00,"Hemiaulus, Rhizosolenia",0.00,0.010,,,,0.00,,,,,,,,,,28.39,35.05,,,,,,
,qPCR,2006-07-15,3.33,-32.93,200,32745.26,0.3,9823.58,,,850.00,0.0002,0.43,0.02,,,0.18,"Hemiaulus, Rhizosolenia",40.26,0.010,,,,0.40,,,,,,,,,,27.85,35.50,,,,,,
,qPCR,2006-07-14,0.08,-34.99,200,6122.56,0.3,1836.77,,,0.00,0.0002,0.11,0.02,,,0.00,"Hemiaulus, Rhizosolenia",0.31,0.010,,,,0.00,,,,,,,,,,26.80,36.19,,,,,,
,qPCR,2006-07-17,1.83,-38.50,200,38433.49,0.3,11530.05,,,0.06,0.0002,101.62,0.02,,,2.03,"Hemiaulus, Rhizosolenia",46.68,0.010,,,,0.47,,,,,,,,,,28.12,35.59,,,,,,
,qPCR,2006-07-19,3.67,-41.96,200,11165.60,0.3,3349.68,,,0.01,0.0002,0.56,0.02,,,0.01,"Hemiaulus, Rhizosolenia",870.25,0.010,,,,8.70,,,,,,,,,,28.25,35.28,,,,,,
,qPCR,2006-07-20,5.60,-45.60,200,20877.89,0.3,6263.37,,,0.02,0.0002,5.72,0.02,,,0.11,"Hemiaulus, Rhizosolenia",226.14,0.010,,,,2.26,,,,,,,,,,28.56,32.97,,,,,,
,qPCR,2006-07-21,7.53,-49.26,200,28216.49,0.3,8464.95,,,0.00,0.0002,0.34,0.02,,,0.01,"Hemiaulus, Rhizosolenia",29.91,0.010,,,,0.30,,,,,,,,,,28.76,32.75,,,,,,
