LATITUDE,LONGITUDE,Trichodesmium nifH Gene (x106 copies m-3),UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),DEPTH (m)
21,119,0.0,7.8,0.0,200.0
21,118,3.4,3.27,1.77,5.0
21,118,12.55,2.25,1.08,15.0
21,118,4.33,2.32,2.17,50.0
21,118,1.67,2.2,2.02,75.0
21,118,0.0,2.5,0.0,100.0
21,118,3.2,2.48,1.08,150.0
21,118,0.0,3.53,1.32,200.0
21,118,3.14,3.89,1.47,5.0
21,118,3.3,3.76,3.35,15.0
21,118,2.12,2.53,3.02,50.0
21,118,9.92,3.05,3.09,75.0
21,118,1.98,3.33,5.32,100.0
21,118,2.7,1.57,3.16,150.0
21,118,0.0,2.13,3.43,200.0
21,117,2.87,4.06,1.88,5.0
21,117,1.47,4.28,2.69,15.0
21,117,1.97,3.52,2.9,50.0
21,117,0.0,2.6,2.46,75.0
21,117,2.54,2.49,2.48,100.0
21,117,0.0,2.78,0.0,150.0
21,117,0.0,2.71,2.4,200.0
21,116,4.6,3.77,3.58,5.0
21,116,4.8,2.3,5.26,15.0
21,116,1.45,2.49,2.27,50.0
21,116,0.0,2.69,1.82,75.0
21,116,0.0,2.83,0.0,100.0
21,116,0.0,2.69,1.14,150.0
21,116,0.0,2.8,1.55,200.0
17,69,0.16,0.0,0.0,0.0
17,69,0.0,0.0,0.0,4.0
17,69,0.0,0.0,0.0,12.0
17,69,0.16,0.0,0.0,22.0
17,69,0.2,0.0,0.0,46.0
14,69,0.63,0.0,0.16,0.0
14,69,1.26,0.0,0.0,5.0
14,69,0.4,0.0,0.5,14.0
14,69,1.26,0.0,0.0,25.0
14,69,0.79,0.0,0.0,53.0
10,69,1.58,0.0,0.0,0.0
10,69,1.26,0.0,0.0,7.0
10,69,7.94,0.0,0.0,16.0
10,69,3.98,0.0,0.0,29.0
10,69,0.0,0.0,0.0,62.0
4,69,0.0,0.0,0.0,0.0
4,69,0.0,0.0,0.0,16.0
4,69,0.0,0.0,0.0,60.0
-5,68,0.0,0.0,0.0,0.0
-5,68,0.0,0.0,0.0,16.0
-5,68,0.0,0.0,0.0,61.0
-20,73,0.0,0.0,0.0,0.0
-20,73,0.0,0.0,0.0,10.0
-20,73,0.0,0.0,0.0,24.0
-20,73,0.0,0.0,0.0,41.0
-20,73,0.0,0.0,0.0,86.0
39,142,0.0,24.9,0.0,0.0
39,142,0.0,174.25,0.0,0.0
39,142,0.0,206.87,0.0,11.0
39,142,0.0,32.3,0.0,34.0
39,142,0.0,2.84,0.0,63.0
39,142,0.0,57.6,0.0,0.0
39,143,0.0,77.95,0.0,0.0
38,141,0.0,33.98,0.0,0.0
38,142,0.0,105.25,0.0,0.0
38,142,0.0,142.75,0.0,0.0
38,142,0.0,79.9,0.0,9.0
