SOURCE: Related article or authors,METHODS:                  Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium nifH Gene (x106 copies m-3),UCYN-A1 nifH Gene (x106 copies m-3),UCYN-A2/A3/A4 nifH Gene (x106 copies m-3),Total UCYN-A nifH Gene (x106 copies m-3),UCYN-B nifH Gene (x106 copies m-3),UCYN-C nifH Gene (x106 copies m-3),Richelia Associated Species,Total Richelia (het-1 +het-2) nifH Gene (x106 copies m-3),Richelia  (het-1 or RintRC02) nifH Gene (x106 copies m-3),Richelia  (het-2 or ReuHH01) nifH Gene (x106 copies m-3),Richelia  ( RrhiSC01) nifH Gene (x106 copies m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),SiO2 (µM),Chlorophyll  (mg m-3),Notes
,qPCR,6/26/2001,57.26 ,17.06 ,4.0 ,,,,,,,see notes,1077.870 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,6/26/2001,57.28 ,17.16 ,4.0 ,,,,,,,see notes,1408.686 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,6/26/2001,57.30 ,17.28 ,4.0 ,,,,,,,see notes,558.252 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,6/26/2001,57.32 ,17.38 ,4.0 ,,,,,,,see notes,1804.854 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,6/26/2001,57.34 ,17.50 ,4.0 ,,,,,,,see notes,987.474 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,6/26/2001,57.35 ,18.00 ,4.0 ,,,,,,,see notes,168.600 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.16 ,16.41 ,4.0 ,,,,,,,see notes,640.128 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.19 ,16.49 ,4.0 ,,,,,,,see notes,281.640 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.23 ,16.57 ,4.0 ,,,,,,,see notes,2223.534 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.26 ,17.06 ,4.0 ,,,,,,,see notes,795.150 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.28 ,17.16 ,4.0 ,,,,,,,see notes,1132.158 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.30 ,17.28 ,4.0 ,,,,,,,see notes,1562.370 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.32 ,17.38 ,4.0 ,,,,,,,see notes,252.606 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.34 ,17.50 ,4.0 ,,,,,,,see notes,208.134 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,7/31/2001,57.35 ,18.00 ,4.0 ,,,,,,,see notes,181.932 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.16 ,16.41 ,4.0 ,,,,,,,see notes,0.000 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
,qPCR,8/16/2001,57.19 ,16.49 ,4.0 ,,,,,,,see notes,125.532 ,,,,,6.00 ,,,,,,"the heterocyst species is Nodularia, not Richelia. Size is assuming 8 um wide, 6 um long (Laamane et al. 2001, doi: 10.1128/AEM.67.10.4638–4647.2001)"
