SOURCE: Related article,METHODS: Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),UCYN-A Cells (x106 m-3),UCYN-B Cells (x106 m-3),UCYN-C Cells (x106 m-3),UCYN Cells (x106 m-3),Richelia Associated Species,Richelia intracellularis (x106 m-3),Calothrix Associated Species,Calothrix intracellularis  (x106 m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,Standard Light Microscopy,9/3/1974,13.20,-59.70,150,,,0.00,,,,,,,,,22.60,36.53,,,,0.03,
,Standard Light Microscopy,9/3/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.70,36.54,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,0,,,0.08,,,,,,,,,28.40,33.55,,,,0.08,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,5,,,0.22,,,,,,,,,28.40,33.55,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,10,,,0.21,,,,,,,,,28.40,33.57,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,15,,,0.50,,,,,,,,,28.40,33.61,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,25,,,0.15,,,,,,,,,28.40,33.64,,,,0.09,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,50,,,0.16,,,,,,,,,27.50,35.71,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,75,,,0.01,,,,,,,,,25.40,36.75,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,100,,,0.00,,,,,,,,,24.30,36.73,,,,,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,150,,,0.00,,,,,,,,,21.90,36.73,,,,0.02,
,Standard Light Microscopy,9/17/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.90,36.65,,,,0.01,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,0,,,0.12,,,,,,,,,28.30,33.15,,,,0.14,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,10,,,0.15,,,,,,,,,28.30,33.58,,,,0.14,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,25,,,0.76,,,,,,,,,28.30,33.65,,,,0.14,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,50,,,0.05,,,,,,,,,26.40,36.93,,,,0.22,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,75,,,0.00,,,,,,,,,25.30,36.62,,,,0.08,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,100,,,0.00,,,,,,,,,24.20,36.83,,,,0.05,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,150,,,0.00,,,,,,,,,21.90,36.72,,,,0.02,
,Standard Light Microscopy,10/3/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.70,36.35,,,,0.00,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,0,,,0.42,,,,,,,,,28.30,34.25,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,5,,,0.50,,,,,,,,,28.30,34.27,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,10,,,0.48,,,,,,,,,28.30,34.27,,,,0.11,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,15,,,0.35,,,,,,,,,28.30,34.34,,,,0.11,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,34,,,1.05,,,,,,,,,28.00,34.44,,,,0.15,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,49,,,0.32,,,,,,,,,27.10,35.43,,,,0.19,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,73,,,0.22,,,,,,,,,26.20,36.31,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,97,,,0.00,,,,,,,,,25.20,36.42,,,,0.10,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,146,,,0.00,,,,,,,,,22.80,36.87,,,,0.02,
,Standard Light Microscopy,10/15/1974,13.20,-59.70,170,,,0.00,,,,,,,,,20.30,36.69,,,,0.02,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,5,,,0.08,,,,,,,,,28.00,34.54,,,,0.11,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,25,,,0.16,,,,,,,,,28.00,34.54,,,,0.14,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,50,,,0.13,,,,,,,,,27.50,35.82,,,,0.20,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,75,,,0.03,,,,,,,,,26.30,36.26,,,,0.14,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,100,,,0.03,,,,,,,,,25.00,36.63,,,,0.05,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,150,,,0.02,,,,,,,,,22.00,36.77,,,,0.04,
,Standard Light Microscopy,10/29/1974,13.20,-59.70,175,,,0.00,,,,,,,,,19.50,36.68,,,,0.02,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,5,,,0.08,,,,,,,,,28.10,33.96,,,,0.07,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,24,,,0.10,,,,,,,,,28.10,34.01,,,,0.05,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,33,,,0.17,,,,,,,,,28.10,34.19,,,,0.08,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,46,,,0.07,,,,,,,,,26.00,36.23,,,,,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,68,,,0.02,,,,,,,,,25.70,36.68,,,,0.15,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,91,,,0.00,,,,,,,,,24.50,37.09,,,,0.06,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,137,,,0.00,,,,,,,,,23.90,36.97,,,,0.01,
,Standard Light Microscopy,11/12/1974,13.20,-59.70,160,,,0.04,,,,,,,,,22.00,36.44,,,,0.13,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,5,,,0.19,,,,,,,,,27.70,34.51,,,,0.08,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,15,,,0.12,,,,,,,,,27.70,34.51,,,,0.08,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,25,,,1.89,,,,,,,,,27.70,34.52,,,,0.06,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,35,,,0.32,,,,,,,,,27.70,34.52,,,,0.08,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,50,,,0.17,,,,,,,,,27.80,34.69,,,,0.11,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,74,,,0.03,,,,,,,,,25.30,36.55,,,,0.11,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,98,,,0.04,,,,,,,,,25.00,36.91,,,,0.06,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,147,,,0.01,,,,,,,,,23.00,36.98,,,,0.02,
,Standard Light Microscopy,11/29/1974,13.20,-59.70,172,,,0.00,,,,,,,,,20.20,36.64,,,,0.01,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,5,,,0.11,,,,,,,,,27.40,34.52,,,,0.05,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,15,,,0.18,,,,,,,,,27.40,34.51,,,,0.08,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,25,,,0.06,,,,,,,,,27.40,34.51,,,,0.06,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,34,,,0.04,,,,,,,,,27.40,34.52,,,,0.07,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,49,,,0.03,,,,,,,,,27.50,34.81,,,,0.09,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,73,,,0.01,,,,,,,,,27.50,36.48,,,,0.08,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,97,,,0.00,,,,,,,,,25.20,36.78,,,,0.10,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,146,,,0.00,,,,,,,,,23.50,36.96,,,,0.01,
,Standard Light Microscopy,12/10/1974,13.20,-59.70,170,,,0.01,,,,,,,,,21.40,36.80,,,,0.02,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,5,,,0.21,,,,,,,,,27.00,34.79,,,,0.06,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,15,,,0.24,,,,,,,,,26.90,34.81,,,,0.06,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,25,,,0.09,,,,,,,,,26.90,34.83,,,,0.04,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,35,,,0.11,,,,,,,,,27.00,35.19,,,,0.07,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,50,,,0.10,,,,,,,,,27.10,35.68,,,,0.07,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,75,,,0.03,,,,,,,,,25.70,36.66,,,,0.16,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,100,,,0.01,,,,,,,,,25.00,36.83,,,,0.15,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,150,,,0.00,,,,,,,,,22.80,36.93,,,,0.02,
,Standard Light Microscopy,12/23/1974,13.20,-59.70,175,,,0.06,,,,,,,,,20.90,36.85,,,,0.02,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,5,,,0.64,,,,,,,,,26.70,35.27,,,,0.16,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,15,,,1.36,,,,,,,,,26.70,35.35,,,,0.17,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,25,,,0.66,,,,,,,,,26.80,35.36,,,,0.21,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,35,,,0.87,,,,,,,,,26.90,35.59,,,,0.25,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,49,,,0.75,,,,,,,,,27.00,35.70,,,,0.25,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,73,,,0.04,,,,,,,,,26.80,36.39,,,,0.14,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,97,,,0.02,,,,,,,,,25.50,36.89,,,,0.08,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,146,,,0.00,,,,,,,,,23.40,37.04,,,,0.02,
,Standard Light Microscopy,1/7/1975,13.20,-59.70,170,,,0.09,,,,,,,,,21.60,36.91,,,,,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,5,,,0.64,,,,,,,,,26.40,35.16,,,,0.32,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,15,,,0.85,,,,,,,,,26.40,35.17,,,,0.26,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,25,,,1.12,,,,,,,,,26.40,35.17,,,,0.22,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,34,,,1.16,,,,,,,,,26.40,35.18,,,,0.28,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,47,,,0.40,,,,,,,,,26.60,35.45,,,,0.18,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,71,,,0.02,,,,,,,,,26.40,36.31,,,,0.11,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,94,,,0.00,,,,,,,,,25.50,36.95,,,,0.02,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,141,,,0.00,,,,,,,,,24.30,36.96,,,,0.02,
,Standard Light Microscopy,1/21/1975,13.20,-59.70,165,,,0.00,,,,,,,,,23.00,36.91,,,,0.01,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,5,,,2.80,,,,,,,,,26.00,35.00,,,,0.35,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,15,,,1.53,,,,,,,,,26.00,35.00,,,,0.38,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,25,,,2.22,,,,,,,,,26.10,34.99,,,,0.44,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,34,,,1.07,,,,,,,,,26.20,35.23,,,,,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,47,,,1.14,,,,,,,,,26.20,35.24,,,,0.29,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,71,,,0.01,,,,,,,,,26.60,36.20,,,,0.10,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,94,,,0.00,,,,,,,,,26.10,36.57,,,,0.05,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,141,,,0.00,,,,,,,,,24.50,36.80,,,,0.02,
,Standard Light Microscopy,2/4/1975,13.20,-59.70,165,,,0.00,,,,,,,,,23.30,36.87,,,,0.01,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,5,,,0.03,,,,,,,,,25.30,35.97,,,,0.40,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,15,,,0.07,,,,,,,,,25.30,35.99,,,,0.10,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,25,,,0.04,,,,,,,,,25.30,36.00,,,,0.11,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,35,,,0.02,,,,,,,,,25.30,36.04,,,,0.13,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,49,,,0.06,,,,,,,,,25.30,36.02,,,,0.16,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,73,,,0.04,,,,,,,,,25.30,36.09,,,,0.20,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,97,,,0.01,,,,,,,,,25.20,36.09,,,,0.02,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,146,,,0.00,,,,,,,,,25.80,36.55,,,,0.17,
,Standard Light Microscopy,2/15/1975,13.20,-59.70,170,,,0.00,,,,,,,,,23.40,36.57,,,,0.03,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,5,,,0.52,,,,,,,,,25.20,35.16,,,,0.10,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,15,,,0.80,,,,,,,,,25.20,35.21,,,,0.10,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,25,,,0.79,,,,,,,,,25.20,35.28,,,,0.08,
,Standard Light Microscopy,3/5/1975,13.20,-59.70,35,,,1.20,,,,,,,,,25.10,35.33,,,,0.28,
