SOURCE: Related article,METHODS: Sampling/Analysis,DATE (yyyy-mm-dd),LATITUDE,LONGITUDE,DEPTH (m),Trichodesmium Colonies (x103 m-3),Trichodesmium Free trichomes (x106 m-3),Trichodesmium Total Trichomes (x106 m-3),UCYN-A Cells (x106 m-3),UCYN-B Cells (x106 m-3),UCYN-C Cells (x106 m-3),UCYN Cells (x106 m-3),Richelia Associated Species,Richelia intracellularis (x106 m-3),Calothrix Associated Species,Calothrix intracellularis  (x106 m-3),Temperature (˚C),Salinity (PSU),Nitrate (µM),Phosphate (µM),Fe (nM),Chlorophyll  (mg m-3),Notes
,Standard Light Microscopy,4/27/2008,22.49,-29.00,5,,0.03,0.03,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/27/2008,23.22,-29.00,5,,0.01,0.01,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/27/2008,23.99,-29.00,5,,0.02,0.02,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/28/2008,24.71,-29.00,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/28/2008,25.65,-29.00,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/28/2008,26.16,-29.00,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/28/2008,26.77,-29.00,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/28/2008,27.56,-29.00,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/29/2008,28.26,-29.00,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/29/2008,29.18,-29.00,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/29/2008,29.19,-28.34,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/29/2008,29.18,-27.51,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/30/2008,29.18,-25.53,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/30/2008,29.18,-24.42,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/30/2008,29.19,-23.70,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/30/2008,29.18,-22.87,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,4/30/2008,29.18,-21.91,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,5/1/2008,29.18,-20.98,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,5/1/2008,29.18,-19.87,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,5/1/2008,29.18,-19.16,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,5/1/2008,29.18,-18.41,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,5/1/2008,29.19,-17.37,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,5/2/2008,29.18,-16.51,5,,0.00,0.00,,,,,,,,,,,,,,,
,Standard Light Microscopy,5/2/2008,29.19,-15.45,5,,0.00,0.00,,,,,,,,,,,,,,,
"Kitajima et al. (2009), doi:10.4319/lo.2009.54.2.0537",Standard Light Microscopy,11/15/2004,34.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,11/17/2004,32.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,11/19/2004,24.50,155.00,0,,,0.00,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0010,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,11/21/2004,20.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,11/23/2004,16.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,11/25/2004,12.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,11/27/2004,7.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,11/29/2004,2.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,12/1/2004,0.00,155.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/5/2005,37.00,147.47,0,,,0.00,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0960,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/6/2005,35.00,148.72,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/7/2005,34.00,149.30,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/7/2005,33.16,149.30,0,,,0.03,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/8/2005,31.16,149.33,0,,,0.00,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.2320,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/9/2005,29.99,149.25,0,,,0.00,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.4360,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/10/2005,28.50,149.30,0,,,0.02,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.2040,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/11/2005,26.50,149.30,0,,,0.16,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/12/2005,24.23,149.02,0,,,0.00,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0040,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/13/2005,22.50,149.30,0,,,0.03,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0120,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/14/2005,20.50,149.30,0,,,0.01,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0080,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/15/2005,19.16,149.30,0,,,0.04,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0540,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/16/2005,17.16,149.30,0,,,0.02,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0800,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/17/2005,15.16,149.30,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/18/2005,12.50,149.30,0,,,0.01,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0240,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/19/2005,10.00,149.30,0,,,0.00,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0120,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/20/2005,8.00,149.15,0,,,0.00,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.1540,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/21/2005,7.50,148.98,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/22/2005,6.00,148.27,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/23/2005,4.00,147.42,0,,,0.03,,,,,"Rhizosolenia clevei, Hemiaulus spp., Chaetoceros compressum",0.0080,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
,Standard Light Microscopy,6/24/2005,3.00,147.00,0,,,0.00,,,,,,0.0000,,,,,,,,,"No accurate date, only year and month provided. Flow cytometry were used for cell counts. Richelia reported as number of heterocysts"
"Goering et al. (1966), Limnol. Oceanogr., 11:614-620",Standard Light Microscopy,10/25/1964,23.03,-60.00,0,,,,,,,,,,,,,36.18,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,10/27/1964,17.05,-60.03,0,,,,,,,,,,,,,34.69,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,10/27/1964,17.05,-60.03,0,,,,,,,,,,,,,34.69,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,10/31/1964,11.52,-59.98,0,,,,,,,,,,,,,34.92,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,10/31/1964,11.52,-59.98,0,,,,,,,,,,,,,34.92,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/1/1964,9.28,-58.42,0,,,,,,,,,,,,,35.66,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/1/1964,9.28,-58.42,0,,,,,,,,,,,,,35.66,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/2/1964,9.17,-55.58,0,,,,,,,,,,,,,35.06,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/3/1964,10.12,-54.07,0,,,,,,,,,,,,,35.37,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/3/1964,10.12,-54.07,10,,,,,,,,,,,,,35.39,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/3/1964,13.45,-62.43,0,,,,,,,,,,,,,35.47,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/22/1964,9.25,-49.83,0,,,,,,,,,,,,,34.69,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/22/1964,9.25,-49.83,15,,,,,,,,,,,,,34.69,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/22/1964,9.25,-49.83,30,,,,,,,,,,,,,35.15,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/22/1964,9.33,-51.25,0,,,,,,,,,,,,,31.88,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/22/1964,9.33,-51.25,10,,,,,,,,,,,,,31.90,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/22/1964,9.33,-51.25,25,,,,,,,,,,,,,34.69,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/23/1964,9.67,-52.52,0,,,,,,,,,,,,,32.62,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/23/1964,9.67,-52.52,15,,,,,,,,,,,,,33.58,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/23/1964,9.67,-52.52,30,,,,,,,,,,,,,35.99,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/23/1964,9.67,-52.52,0,,,,,,,,,,,,,32.62,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/25/1964,7.15,-56.20,0,,,,,,,,,,,,,35.54,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/27/1964,11.60,-57.35,0,,,,,,,,,,,,,35.43,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,11/27/1964,11.60,-57.35,15,,,,,,,,,,,,,35.43,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/2/1964,13.33,-60.50,15,,,,,,,,,,,,,35.30,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/2/1964,13.43,-61.28,0,,,,,,,,,,,,,35.42,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/2/1964,13.43,-61.28,15,,,,,,,,,,,,,35.45,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/2/1964,13.43,-61.28,30,,,,,,,,,,,,,35.56,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/3/1964,13.38,-63.63,0,,,,,,,,,,,,,35.39,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/3/1964,13.38,-63.63,15,,,,,,,,,,,,,35.41,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/3/1964,13.38,-63.63,30,,,,,,,,,,,,,35.60,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/4/1964,13.60,-65.83,15,,,,,,,,,,,,,35.17,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/8/1964,14.68,-65.00,0,,,,,,,,,,,,,34.84,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/8/1964,14.68,-65.00,15,,,,,,,,,,,,,34.85,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/8/1964,14.68,-65.00,30,,,,,,,,,,,,,34.93,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,12/9/1964,16.95,-64.97,15,,,,,,,,,,,,,35.09,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,5/23/1965,20.22,-60.12,0,,,,,,,,,,,,,36.15,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,5/24/1965,16.75,-59.77,0,,,,,,,,,,,,,35.57,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,5/26/1965,14.60,-58.58,0,,,,,,,,,,,,,35.51,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,5/27/1965,16.92,-56.33,0,,,,,,,,,,,,,35.88,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,5/29/1965,16.78,-52.27,0,,,,,,,,,,,,,36.68,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,5/31/1965,12.18,-49.15,0,,,,,,,,,,,,,35.13,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/1/1965,10.17,-51.87,0,,,,,,,,,,,,,24.85,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/7/1965,7.15,-51.42,0,,,,,,,,,,,,,35.10,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/9/1965,9.35,-51.72,0,,,,,,,,,,,,,35.00,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/9/1965,9.35,-51.72,0,,,,,,,,,,,,,35.00,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/9/1965,9.35,-51.72,0,,,,,,,,,,,,,35.00,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/10/1965,11.78,-54.90,0,,,,,,,,,,,,,31.97,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/10/1965,11.78,-54.90,0,,,,,,,,,,,,,31.97,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/10/1965,11.78,-54.90,0,,,,,,,,,,,,,31.97,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
,Standard Light Microscopy,6/10/1965,11.78,-54.90,0,,,,,,,,,,,,,31.97,,,,,"Trichodesmium biomass is given in µg N L-1, converted to µg C L-1 by assuming molar C:N=106:16"
"Gómez et al (2005), doi:10.1093/plankt/fbi007",Standard Light Microscopy,5/13/2002,34.33,138.00,5,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,10,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,20,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,30,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,40,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,50,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,60,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,70,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,80,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,90,,,,,,,,Hemiaulus hauckii,0.0100,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,100,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,125,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,150,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,175,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/13/2002,34.33,138.00,200,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,5,,,,,,,,Rhizosolenia clevei,0.4195,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,10,,,,,,,,Rhizosolenia clevei,0.2137,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,30,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,40,,,,,,,,Rhizosolenia clevei,0.4195,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,50,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,60,,,,,,,,Rhizosolenia clevei,0.2250,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,70,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,80,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,90,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,100,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
,Standard Light Microscopy,5/14/2002,34.00,138.00,125,,,,,,,,,0.0000,,,,,,,,,"Richelia counts are derived from host diatom cell counts: assuming each host Chaetoceros contains 0.5 Richelia intracellularis, each Hemiaulus contains 2 Richelia intracellularis and each Rhizosolenia contains 5 Richelia intracellularis."
